nba,whois.nic.nba
net,whois.verisign-grs.com
netbank,whois.nic.netbank
netflix,whois.nic.netflix
neustar,whois.nic.neustar
nf,whois.nic.net.nf
nfl,whois.nic.nfl
nike,whois.nic.nike
ninja,whois.nic.ninja
nl,whois.domain-registry.nl
no,whois.norid.no
northwesternmutual,northwesternmutual.whois-servers.net
now,whois.nic.now
nu,whois.iis.nu
nyc,whois.nic.nyc
nz,whois.srs.net.nz
office,whois.nic.office
okinawa,whois.nic.okinawa
olayan,whois.nic.olayan
olayangroup,whois.nic.olayangroup
oldnavy,whois.nic.oldnavy
one,whois.nic.one
onl,whois.nic.onl
open,whois.nic.open
org,whois.publicinterestregistry.net
osaka,whois.nic.osaka
panerai,whois.nic.panerai
paris,whois.nic.paris
partners,whois.nic.partners
parts,whois.nic.parts
party,whois.nic.party
passagens,whois.nic.passagens
pay,whois.nic.pay
pe,kero.yachay.pe
pfizer,whois.nic.pfizer
pharmacy,whois.nic.pharmacy
philips,whois.nic.philips
photo,whois.nic.photo
photography,whois.nic.photography
photos,whois.nic.photos
physio,whois.nic.physio
piaget,whois.nic.piaget
pics,whois.nic.pics
pictures,whois.nic.pictures
pin,whois.nic.pin
ping,whois.nic.ping
pink,whois.nic.pink
pl,whois.dns.pl
plumbing,whois.nic.plumbing
pm,whois.nic.pm
pr,whois.nic.pr
pramerica,whois.nic.pramerica
praxi,whois.nic.praxi
prime,whois.nic.prime
pro,whois.registrypro.pro
productions,whois.nic.productions
properties,whois.nic.properties
pru,whois.nic.pru
prudential,whois.nic.prudential
ps,whois.pnina.ps
pt,whois.dns.pt
pub,whois.nic.pub
pw,whois.nic.pw
qpon,whois.nic.qpon
quebec,whois.nic.quebec
quest,whois.nic.quest
qvc,whois.nic.qvc
racing,whois.nic.racing
re,whois.nic.re
read,whois.nic.read
recipes,whois.nic.recipes
red,whois.nic.red
reisen,whois.nic.reisen
ren,whois.nic.ren
rentals,whois.nic.rentals
repair,whois.nic.repair
report,whois.nic.report
rest,whois.nic.rest
review,whois.nic.review
reviews,whois.nic.reviews
rich,whois.nic.rich
rmit,whois.nic.rmit
ro,whois.rotld.ro
rocher,whois.nic.rocher
rocks,whois.nic.rocks
rodeo,whois.nic.rodeo
room,whois.nic.room
rs,whois.rnids.rs
ru,whois.ripn.net
ruhr,whois.nic.ruhr
ryukyu,whois.nic.ryukyu
sa,whois.saudinic.net.sa
saarland,whois.nic.saarland
safe,whois.nic.safe
safety,whois.nic.safety
sandvik,whois.nic.sandvik
sandvikcoromant,whois.nic.sandvikcoromant
sas,whois.nic.sas
save,whois.nic.save
saxo,whois.nic.saxo
sb,whois.nic.net.sb
sc,whois2.afilias-grs.net
schmidt,whois.nic.schmidt
schule,whois.nic.schule
science,whois.nic.science
scor,whois.nic.scor
se,whois.iis.se
search,whois.nic.search
secure,whois.nic.secure
seek,whois.nic.seek
select,whois.nic.select
services,whois.nic.services
seven,whois.nic.seven
sexy,whois.nic.sexy
sg,whois.nic.net.sg
sh,whois.nic.sh
shiksha,whois.nic.shiksha
shoes,whois.nic.shoes
shop,whois.nic.shop
si,whois.arnes.si
silk,whois.nic.silk
singles,whois.nic.singles
sk,whois.sk-nic.sk
skype,whois.nic.skype
sm,whois.ripe.net
smile,whois.nic.smile
sn,whois.nic.sn
so,whois.nic.so
social,whois.nic.social
sohu,whois.nic.sohu
solar,whois.nic.solar
solutions,whois.nic.solutions
song,whois.nic.song
soy,whois.nic.soy
spot,whois.nic.spot
st,whois.nic.st
staples,whois.nic.staples
starhub,whois.nic.starhub
statefarm,whois.nic.statefarm
stream,whois.nic.stream
study,whois.nic.study
su,whois.ripn.net
sucks,whois.nic.sucks
supplies,whois.nic.supplies
supply,whois.nic.supply
support,whois.nic.support
surgery,whois.nic.surgery
swiftcover,whois.nic.swiftcover
sydney,whois.nic.sydney
systems,whois.nic.systems
tab,whois.nic.tab
taipei,whois.nic.taipei
talk,whois.nic.talk
taobao,whois.nic.taobao
target,whois.nic.target
tattoo,whois.nic.tattoo
tax,whois.nic.tax
tdk,whois.nic.tdk
tech,whois.nic.tech
technology,whois.nic.technology
tel,whois.nic.tel
teva,whois.nic.teva
tf,whois.nic.tf
th,whois.thnic.net
tienda,whois.nic.tienda
tips,whois.nic.tips
tjmaxx,whois.nic.tjmaxx
tjx,whois.nic.tjx
tk,whois.dot.tk
tkmaxx,whois.nic.tkmaxx
tl,whois.nic.tl
tm,whois.nic.tm
tmall,whois.nic.tmall
tn,whois.ripe.net
to,whois.tonic.to
today,whois.nic.today
tokyo,whois.nic.tokyo
tools,whois.nic.tools
top,whois.nic.top
town,whois.nic.town
toys,whois.nic.toys
tr,whois.nic.tr
trade,whois.nic.trade
training,whois.nic.training
travel,whois.nic.travel
trust,whois.nic.trust
tube,whois.nic.tube
tunes,whois.nic.tunes
tushu,whois.nic.tushu
tv,tvwhois.verisign-grs.com
tw,whois.twnic.net
tz,whois.tznic.or.tz
ua,whois.ua
ug,whois.co.ug
uk,whois.nic.uk
university,whois.nic.university
uno,whois.nic.uno
us,whois.nic.us
uy,whois.nic.org.uy
uz,whois.cctld.uz
va,whois.ripe.net
vacations,whois.nic.vacations
vc,whois2.afilias-grs.net
ve,whois.nic.ve
vegas,whois.nic.vegas
ventures,whois.nic.ventures
vg,whois.adamsnames.tc
viajes,whois.nic.viajes
villas,whois.nic.villas
virgin,whois.nic.virgin
vision,whois.nic.vision
vista,whois.nic.vista
vistaprint,whois.nic.vistaprint
vivo,whois.nic.vivo
vlaanderen,whois.nic.vlaanderen
vodka,whois.nic.vodka
vote,whois.nic.vote
voting,whois.nic.voting
voto,whois.nic.voto
voyage,whois.nic.voyage
vuelos,whois.nic.vuelos
wales,whois.nic.wales
walter,whois.nic.walter
wang,whois.nic.wang
wanggou,whois.nic.wanggou
watch,whois.nic.watch
watches,whois.nic.watches
weather,whois.nic.weather
weatherchannel,whois.nic.weatherchannel
webcam,whois.nic.webcam
wed,whois.nic.wed
wf,whois.nic.wf
whoswho,whois.nic.whoswho
wien,whois.nic.wien
wiki,whois.nic.wiki
williamhill,whois.nic.williamhill
win,whois.nic.win
winners,whois.nic.winners
woodside,whois.nic.woodside
works,whois.nic.works
wow,whois.nic.wow
ws,whois.worldsite.ws
wtc,whois.nic.wtc
wtf,whois.nic.wtf
xn--1ck2e1b,whois.nic.xn--1ck2e1b
xn--80aqecdr1a,whois.nic.xn--80aqecdr1a
xn--8y0a063a,whois.nic.xn--8y0a063a
xn--bck1b9a5dre4c,xn--bck1b9a5dre4c.whois-servers.net. 600 in cname whois.nic.xn--bck1b9a5dre4c
xn--cck2b3b,whois.nic.xn--cck2b3b
xn--eckvdtc9d,whois.nic.xn--eckvdtc9d
xn--fct429k,whois.nic.xn--fct429k
xn--fiqs8s,cwhois.cnnic.cn
xn--fiqz9s,cwhois.cnnic.cn
xn--g2xx48c,whois.nic.xn--g2xx48c
xn--gckr3f0f,whois.nic.xn--gckr3f0f
xn--gk3at1e,whois.nic.xn--gk3at1e
xn--j6w193g,whois.hkirc.hk
xn--jvr189m,whois.nic.xn--jvr189m
xn--kcrx77d1x4a,whois.nic.xn--kcrx77d1x4a
xn--kprw13d,whois.twnic.net.tw
xn--kpry57d,whois.twnic.net.tw
xn--kpu716f,whois.nic.xn--kpu716f
xn--mgba3a3ejt,whois.nic.xn--mgba3a3ejt
xn--mgba7c0bbn0a,in cname whois.nic.xn--mgba7c0bbn0a
xn--mgbaam7a8h,whois.aeda.net.ae
xn--mgbb9fbpob,whois.nic.xn--mgbb9fbpob
xn--mgberp4a5d4ar,xn--mgberp4a5d4ar.whois-servers.net. 600 in cname whois.nic.net.sa
xn--mgbi4ecexp,whois.nic.xn--mgbi4ecexp
